uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,CV84-2000,MA,Archaeology/Psychology,65,21692.30769230769,24730.76923076923,29384.615384615383,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Archaeology_Joint_V400-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,VVF4-2000,MA,Archaeology/Scottish History,90,21000,24722.222222222223,30166.666666666668,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2017/Scottish_History_Joint_programme_specification_V212-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,VW44-2000,MA,Archaeology/Theatre Studies,65,20769.23076923077,24384.615384615383,29153.846153846152,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Theatre_Studies_Joint_Honours_programme_spec_W440-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,VV46-2000,MA,Archaeology/Theology & Religious Studies,60,21000,24916.666666666668,29666.666666666668,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Archaeology_Joint_V400-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,FG5D-2207,MSci,Astronomy/Mathematics,40,24000,29750,33250,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/astronomy/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MSci_(Combined)_in_Astronomy_(and_another_subject)_F500-2207H.pdf,http://www.gla.ac.uk/undergraduate/degrees/astronomy/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,FF53-2208,BSc,Astronomy/Physics,35,25000,30000,34428.57142857143,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/physics/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/BSc_PHYS_ASTRON_FF53-2208.pdf,http://www.gla.ac.uk/undergraduate/degrees/physics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,C700-2105,BSc,Biochemistry,15,21500,27000,32000,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/biochemistry/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/BSc_Hons_Biochemistry_C700-2105.pdf,http://www.gla.ac.uk/undergraduate/degrees/biochemistry/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,J750-2200,BEng,Biomedical Engineering,105,28000,30500,34000,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/biomedicalengineering/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/BEng_Biomedical_Engineering_J750-2200.pdf,http://www.gla.ac.uk/undergraduate/degrees/biomedicalengineering/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,N200-2308,MA(SocSci),Business & Management,35,25428.571428571428,29428.571428571428,32500,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_HONS_BUSINESS_AND_MANAGEMENT_N200-2308_Programme_Specification.pdf,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,NR14-2034,MA,Business & Management/ Spanish,50,24100,28100,31150,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,Yes,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/MA_Hons_Spanish_joint_R410-2034H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,NR23-2034,MA,Business & Management/Italian,65,22923.07692307692,26923.07692307692,30423.07692307692,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,Yes,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/MA_Hons__Italian_joint_R310-2034H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,University of Glasgow
