university,kiscourseid,title,crseurl,degree_type,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,provaddress,ukprn,median_salary,foundation_year_available,placement_year,year_abroad
Durham University,F300,Physics,https://www.durham.ac.uk/study/courses/f300/,BSc,A*A*A,A level offer – A*A*A including Mathematics and Physics. Contextual offer – A*AB including A*A in Mathematics and Physics (either way round).,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,F301,Physics,https://www.durham.ac.uk/study/courses/f301/,MPhys,A*A*A,A level offer – A*A*A including Physics and Mathematics. Contextual offer – A*AB including A*A in Physics and Mathematics (either way round).,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,F344,Theoretical Physics,https://www.durham.ac.uk/study/courses/f344/,MPhys,A*A*A,A level offer – A*A*A including Physics and Mathematics. Contextual offer – A*AB including A*A in Physics and Mathematics (either way round).,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,No,No
Durham University,F400,Archaeology,https://www.durham.ac.uk/study/courses/f400/,BA,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 to include 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,F402,Archaeology,https://www.durham.ac.uk/study/courses/f402/,BSc,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 to include 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,F600,Geology,https://www.durham.ac.uk/study/courses/f600/,BSc,AAB,"A level offer – AAB including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Further Mathematics, Geography, Geology, Environmental Sciences, Engineering, Life and Health Sciences, Mathematics, Physics, Psychology or Statistics. Contextual offer – BBB/ABC including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Further Mathematics, Geography, Geology, Environmental Sciences, Engineering, Life and Health Sciences, Mathematics, Physics, Psychology or Statistics.",36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from list above.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,26500,No,No,Yes
Durham University,F630,Environmental Geoscience,https://www.durham.ac.uk/study/courses/f630/,BSc,AAB,"A level offer – AAB including two sciences from Biology, Chemistry, Computer Science, Marine Science, Economics, Environmental Sciences, Engineering, Life and Health Sciences, Further Mathematics, Geography, Geology, Mathematics, Physics, Psychology or Statistics. Contextual offer – BBB/ABC including two sciences from Biology, Chemistry, Computer Science, Marine Science, Economics, Environmental Sciences, Engineering, Life and Health Sciences, Further Mathematics, Geography, Geology, Mathematics, Physics, Psychology or Statistics.",36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from list above.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,26500,No,No,Yes
Durham University,F643,Geoscience,https://www.durham.ac.uk/study/courses/f643/,BSc,AAB,"A level offer – AAB including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Further Mathematics, Geography, Geology, Environmental Sciences, Engineering, Life and Health Sciences, Mathematics, Physics, Psychology or Statistics. Contextual offer – BBB/ABC including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Further Mathematics, Geography, Geology, Environmental Sciences, Engineering, Life and Health Sciences, Mathematics, Physics, Psychology or Statistics.",36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from the list above.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,26500,No,Yes,Yes
Durham University,F644,Earth Sciences,https://www.durham.ac.uk/study/courses/f644/,MSci,AAA,"A level offer – AAA including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Further Mathematics, Geography, Geology, Environmental Sciences, Engineering, Life and Health Sciences, Mathematics, Physics, Psychology or Statistics. For the Geophysics route, Mathematics or Further Mathematics is required. Contextual offer – BBB including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Environmental Sciences, Engineering, Further Mathematics, Geography, Geology, Life and Health Sciences, Mathematics, Physics, Psychology or Statistics. For the Geophysics route, Mathematics or Further Mathematics is required.",37,"IB Diploma score – 37 with 666 in higher level subjects, including two science subjects from the list above.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,26500,No,No,No
Durham University,F645,Climate Science,https://www.durham.ac.uk/study/courses/f645/,BSc,AAB,"A level offer – AAB including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Environmental Sciences, Engineering, Life and Health Sciences, Further Mathematics, Geography, Geology, Mathematics, Physics, Psychology or Statistics. Contextual offer – BBB/ABC including two sciences from Biology, Chemistry, Computer and Marine Science, Economics, Environmental Sciences, Engineering, Life and Health Sciences, Further Mathematics, Geography, Geology, Mathematics, Physics, Psychology or Statistics.",36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from list above.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,26500,No,Yes,Yes
Durham University,F665,Geophysics,https://www.durham.ac.uk/study/courses/geophysics-f665/,BSc,AAB,"A level offer – AAB including Mathematics or Further Mathematics plus one other science from Biology, Chemistry, Computer and Marine Science, Economics, Engineering, Life and Health Sciences, Environmental Science, Geography, Geology, Physics, Psychology or Statistics. Contextual offer – BBB/ABC including Mathematics or Further Mathematics plus one other science from Biology, Chemistry, Computer and Marine Science, Economics, Engineering, Life and Health Sciences, Environmental Science, Geography, Geology, Physics, Psychology or Statistics.",36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from the list above.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,26500,No,Yes,Yes
