url,degree_type,degree_title,grade_req,subject_reqs
https://www.imperial.ac.uk/study/courses/undergraduate/geophysics-msci/#abroad,MSci,Geophysics,AAA,A in Mathematics ; A in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/#OptionA,BSc,Chemistry with Management,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-bsc/,BSc,Mathematics,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computation/,BSc,Mathematics with Mathematical Computation,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-msci/,MSci,Mathematics,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-msci/#OptionA,MSci,Mathematics,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/pure-mathematics-bsc/,BSc,Mathematics (Pure Mathematics),A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-applied-physics/,BSc,Mathematics with Applied Mathematics​/​Mathematical Physics,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-statistics/,BSc,Mathematics with Statistics,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-statistics-finance/,BSc,Mathematics with Statistics for Finance,A*A*A - A*A*AA,A* in Mathematics ; A* in Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/computing-beng/,BEng,Computing,A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/computing-meng/,MEng,Computing,A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/computing-international-programme-of-study/,MEng,Computing (International Programme of Study),A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects"
https://www.imperial.ac.uk/study/courses/undergraduate/computing-computational-management/,MEng,Computing (Management and Finance),A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/computing-software-engineering-meng/,MEng,Computing (Software Engineering),A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/computing-security-reliability-meng/,MEng,Computing (Security and Reliability),A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/computing-artificial-intelligence-meng/,MEng,Computing (Artificial Intelligence and Machine Learning),A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computer-science-beng/,BEng,Mathematics and Computer Science,A*A*A ,A* in Mathematics ; A* Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computer-science-meng/,MEng,Mathematics and Computer Science,A*A*A ,A* in Mathematics ; A* Further Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/computing-visual-computing-robotics-meng/,MEng,Computing (Visual Computing and Robotics),A*A*A – A*AAA,"A* in Mathematics ; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred."
https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-meng/,MEng,Electronic and Information Engineering,A*A*A or A*AAA ,A* in Mathematics ; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/molecular-bioengineering/,MEng,Molecular Bioengineering,A*AA,A* in Mathematics ; A in Chemistry
https://www.imperial.ac.uk/study/courses/undergraduate/civil-engineering/,MEng,Civil Engineering,A*A*A or A*AAA,A* in Mathematics ; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/civil-engineering/#OptionA,MEng,Civil Engineering,A*A*A or A*AAA,A* in Mathematics ; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/mechanical-engineering/,MEng,Mechanical Engineering,A*A*A or A*AAA,A* in Mathematics ; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/,MEng,Aeronautical Engineering,A*A*A,A* in Mathematics ; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-beng/,BEng,Electrical and Electronic Engineering,A*A*A or A*AAA ,A* in Mathematics ; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-meng/,MEng,Electrical and Electronic Engineering,A*A*A or A*AAA ,A* in Mathematics ; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-management/,MEng,Electrical and Electronic Engineering with Management,A*A*A or A*AAA ,A* in Mathematics ; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/chemical-engineering/,MEng,Chemical Engineering,A*A*A ,A* in Chemistry ; A* in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-beng/,BEng,Electronic and Information Engineering ,A*A*A or A*AAA ,A* in Mathematics ; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
https://www.imperial.ac.uk/study/courses/undergraduate/materials-nuclear-engineering/,MEng,Materials with Nuclear Engineering,AAA,A in Mathematics ; A in Chemistry or Physics
https://www.imperial.ac.uk/study/courses/undergraduate/biotechnology/,BSc,"Biotechnology
",AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biotechnology-language/#OptionA,BSc,"Biotechnology with Language for Science

",AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biotechnology-language/#OptionB,BSc,"Biotechnology with Language for Science

",AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biotechnology-language/#OptionC,BSc,"Biotechnology with Language for Science

",AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/materials-science-engineering-beng/,BEng,"Materials Science and Engineering
",AAA,A in Mathematics ; A in Chemistry or Physics
https://www.imperial.ac.uk/study/courses/undergraduate/materials-science-engineering-meng/,MEng,"Materials Science and Engineering
",AAA,A in Mathematics ; A in Chemistry or Physics
https://www.imperial.ac.uk/study/courses/undergraduate/economics-finance-data-science/,BSc,"Economics, Finance and Data Science",A*AA,"A* in Mathematics ; AA in two other subjects (Further Mathematics and/or Economics are useful, but not required)"
