ukprn,kiscourseid,title,crseurl
10003645,UBSH3BSAD,"Anatomy, Developmental & Human Biology",https://www.kcl.ac.uk/study/undergraduate/courses/anatomy-developmental-and-human-biology-bsc
10003645,UBSH3BSBC,Biochemistry,https://www.kcl.ac.uk/study/undergraduate/courses/biochemistry-bsc
10003645,UBSH3BSBS,Biomedical Science,https://www.kcl.ac.uk/study/undergraduate/courses/biomedical-science-bsc
10003645,UBSH3BSMC,Molecular Genetics,https://www.kcl.ac.uk/study/undergraduate/courses/molecular-genetics-bsc
10003645,UBSH3BSMP,Medical Physiology,https://www.kcl.ac.uk/study/undergraduate/courses/medical-physiology-bsc
10003645,UBSH3BSNU,Neuroscience,https://www.kcl.ac.uk/study/undergraduate/courses/neuroscience-bsc
10003645,UBSH3BSPC,Pharmacology,https://www.kcl.ac.uk/study/undergraduate/courses/pharmacology-bsc
10003645,UBSH3CCBYI,Chemistry with Biomedicine with a Year in Industry,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-biomedicine-with-year-in-industry
10003645,UBSH3CCHBM,Chemistry with Biomedicine,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-biomedicine-bsc
10003645,UBSH3CCHE,Chemistry,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-bsc
10003645,UBSH3CCHYI,Chemistry with a Year in Industry,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-year-in-industry-bsc
10003645,UBSH3CJPHPL,Physics & Philosophy,https://www.kcl.ac.uk/study/undergraduate/courses/physics-and-philosophy-bsc
10003645,UBSH3CMCSMT,Computer Science with Management,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-with-management-bsc
10003645,UBSH3CMMMMF,Mathematics with Management & Finance,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-management-and-finance-bsc
10003645,UBSH3CMMWS,Mathematics with Statistics,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-statistics-bsc
10003645,UBSH3CMPHTP,Physics with Theoretical Physics,https://www.kcl.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-bsc
10003645,UBSH3CSAG,Artificial Intelligence,https://www.kcl.ac.uk/study/undergraduate/courses/artificial-intelligence-bsc
10003645,UBSH3CSCS,Computer Science,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-bsc
10003645,UBSH3CSMM,Mathematics,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-bsc
