url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba,BA,Bulgarian and Russian,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba,BA,Bulgarian and Spanish,AAB,Spanish required at grade A.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, to include French grade 6."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-serbian-croatian-ba,BA,Bulgarian and Serbian/Croatian,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-swedish-ba,BA,Bulgarian and Swedish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-ukrainian-ba,BA,Bulgarian and Ukrainian,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-yiddish-ba,BA,Bulgarian and Yiddish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,A total of 16 in three higher level subjects to include Bulgarian or Yiddish with no higher level score below 5
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-study-abroad-ba,BA,Classics and the Ancient World with Study Abroad,AAB,"Language and Literature route: Ancient/Classical Greek or Latin at grade A requiredLiterature, History, Archaeology route: no subject requirementsAncient Middle Eastern Studies route: no subject requirements.",36,"A total of 17 points in three higher level subjects including Greek or Latin at grade 6, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-archaeology-and-classical-civilisation-ba,BA,Classical Archaeology and Classical Civilisation,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-ba,BA,Classics and the Ancient World,AAB,"Language and Literature route: Ancient/Classical Greek or Latin at grade A requiredLiterature, History, Archaeology route: no subject requirementsAncient Middle Eastern Studies route: no subject requirements.",36,"A total of 17 points in three higher level subjects with no higher level score below 5. Language and Literature route: Ancient/Classical Greek or Latin at higher level grade 6 required; Literature, History, Archaeology route: No subject requirements; Ancient Middle Eastern Studies route: No subject requirements."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-year-abroad-ba,BA,Comparative Literature with a Year Abroad,AAA,A humanities subject required. French or Spanish required at grade A if one of these is to be studied as major language pathway.,38,A total of 18 points in three higher level subjects with no score below 5. French or Spanish required at higher level grade 6 if one of these is to be studied as major language pathway
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,BA,Comparative Literature,AAA,A humanities subject required. French or Spanish required at grade A if one of these is to be studied as major language pathway.,38,"A total of 18 points in three higher level subjects, including a Humanities subject. Higher level French or Spanish required at grade 6 if one of these is to be studied as a major language pathway. No higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/communications-ba,BA,Communications,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/creative-arts-and-humanities-ba,manities BA,Creative Arts and Hu,AAA,One essay-based Humanities or Social Sciences subject.,38,"A total of 18 points in three higher level subjects, to include one essay based Humanities or Social Sciences subject at grade 6,with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,BA,Czech and Danish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,BA,Czech and Dutch,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,BA,Czech (with Slovak) and East European Studies,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,BA,Czech and Finnish,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,BA,Czech and French,AAB,French required at A.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5."
