kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
K0224,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-history.aspx,BA,Social Anthropology and History,ABB,ABB,32,"6,5,5 including 32 points overall."
K0226,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-politics.aspx,BA,Social Anthropology and Politics,ABB,ABB,32,"6,5,5 including 32 points overall. "
K0228,https://www.birmingham.ac.uk/undergraduate/courses/maths/maths-computer-science.aspx,BSc,Mathematics and Computer Science,A*AA,A*AA to include A-level grade A in Mathematics or Further Mathematics.,32,"7,6,6 at Higher Level, including Mathematics, with a minimum of 32 points overall."
K0229,https://www.birmingham.ac.uk/undergraduate/courses/maths/maths-computer-science-msci.aspx,MSci,Mathematics and Computer Science,A*AA,A*AA to include A-level grade A in Mathematics or Further Mathematics.,32,"7,6,6 at Higher Level, including a 6 in Mathematics, with a minimum of 32 points overall."
K0230,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics-business.aspx,BSc,Mathematics with Business Management,AAA,AAA to include A-level grade A in Mathematics or Further Mathematics.,32,"6,6,6 at Higher Level, including Mathematics, with a minimum of 32 points overall."
K0231,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics-business-msci.aspx,MSci,Mathematics with Business Management,A*AA,A*AA to include A-level grade A in Mathematics or Further Mathematics.,32,"7,6,6 at Higher Level, including a 6 in Mathematics, with a minimum of 32 points overall."
K0232,https://www.birmingham.ac.uk/undergraduate/courses/gees/environmental-science-placement.aspx,BSc,Environmental Science with Professional Placement Abroad Australasia,AAB,AAB Including 1 Required Science,32,"6,6,5 32 points overall."
K0233,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations.aspx,BA,International Relations,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0235,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-astrophysics-international-bsc.aspx,BSc,Physics and Astrophysics (International Study),A*AA,A*AA /AAAA to include A-level Mathematics and A-level Physics grades A*A (or AA as part of the four A level offer). GCSE Grade 6 in relevant language to study abroad.,32,"7,6,6  at HL, to include Mathematics and Physics, with a minimum of 32 points overall. 7 must be in Mathematics or Physics."
K0249,https://www.birmingham.ac.uk/undergraduate/courses/histart/history-art.aspx,BA,History of Art,ABB,ABB,32,"6,5,5 including 32 points overall."
K0257,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-study-abroad-msci.aspx,MSci,Chemistry with Study Abroad,A*AA,A*AA  - AAA to include A-level Chemistry. Minimum Maths requirement: GCSE grade 6.,32,"7,6,6 - 6,6,6  at Higher Level, including Chemistry at Higher Level, with a minimum of 32 points overall. Further information below."
K0258,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-business-bsc.aspx,BSc,Chemistry with Business Management,AAA,"AAA  - AAB to include A-level Chemistry, minimum Maths requirement GCSE grade 6.",32,"6,6,6 - 6,6,5  at Higher Level, including Chemistry at Higher Level, with a minimum of 32 points overall. Further information below."
K0259,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-business-msci.aspx,MSci,Chemistry with Business Management,A*AA,A*AA  - AAA to include A-level Chemistry. Minimum Maths requirement: GCSE grade 6.,32,"7,6,6 - 6,6,6  at Higher Level, including Chemistry at Higher Level, with a minimum of 32 points overall. Further information below."
K0260,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/social-work.aspx,BA,Social Work,,"6,5,5 at Higher Level, to include English with a minimum of 32 points overall.",,"BTEC Extended Diploma, Diploma and Subsidiary Diploma are all considered.considered"
K0262,https://www.birmingham.ac.uk/undergraduate/courses/edu/ba-education.aspx,BA,Education,ABB,ABB,32,"6,5,5 32 points overall"
K0270,https://www.birmingham.ac.uk/undergraduate/courses/law/law-business.aspx,LLB,Law with Business Studies,AAA,AAA,32,"6,6,6 including 32 points overall."
K0272,https://www.birmingham.ac.uk/undergraduate/courses/business/business-management.aspx,BSc,Business Management,,"6,6,5 32 points overall",,"DDD in Business, Applied Science, or Enterprise and Entrepreneurship"
K0273,https://www.birmingham.ac.uk/undergraduate/courses/business/business-mgmt-comms.aspx,BSc,Business Management with Communications,,"6,6,5 32 points overall",,"DDD in Business, Applied Science, or Enterprise and Entrepreneurship"
K0275,https://www.birmingham.ac.uk/undergraduate/courses/business/international-business-comms.aspx,BSc,International Business with Communications,,"6,6,5 32 points overall",,"DDD in Business, Applied Science, or Enterprise and Entrepreneurship"
K0276,https://www.birmingham.ac.uk/undergraduate/courses/business/bus-mgnt-year-in-industry.aspx,BSc,Business Management with Year in Industry,,"6,6,5 32 points overall",,"DDD in Business, Applied Science, or Enterprise and Entrepreneurship"
K0277,https://www.birmingham.ac.uk/undergraduate/courses/business/international-business-lang.aspx,BSc,International Business with Language,,"6,6,5 32 points overall. To include 5 at HL in language for Advanced levels.",,"BTEC National Extended Diploma DDD in Business, Applied Science, or Enterprise and Entrepreneurship. Plus A level grade B in relevant language for Advanced level options."
K0278,https://www.birmingham.ac.uk/undergraduate/courses/business/international-business.aspx,BSc,International Business,,"6,6,5 32 points overall",,"DDD in Business, Applied Science, or Enterprise and Entrepreneurship"
K0279,https://www.birmingham.ac.uk/undergraduate/courses/metallurgy-materials/materials-engineering-industrial-meng.aspx,MEng,Materials Science and Engineering with Industrial Experience,AAA,"AAA to include A-level Mathematics and one of Physics, Chemistry or Design and Technology.",32,"6,6,6 at Higher Level, including Mathematics and either Physics, Design Technology or Chemistry, with a minimum of 32 points overall."
K0282,https://www.birmingham.ac.uk/undergraduate/courses/lang/mod-lang-business.aspx,BA,Modern Languages with Business Management,AAB,"AAB A level grade B is required for the advanced language you wish to study. It is also possible to study two beginner (including post-GCSE) languages without taking an advanced language, as long as one of your beginner languages is French or Spanish.",32,"6,6,5 32 points overall. You also require a Higher Level or equivalent in each modern language that you plan to study."
K0283,https://www.birmingham.ac.uk/undergraduate/courses/english/english-creative.aspx,BA,English Literature and Creative Writing,AAB,AAB to include A level English Literature or English Language and Literature.,32,"6,6,5 32 points overall (to include HL English Literature or English Language and Literature)."
K0287,https://www.birmingham.ac.uk/undergraduate/courses/history/history.aspx,BA,History,AAB,"AAB to include History, Medieval History or Ancient History. ",32,"6,6,5 32 points overall."
K0288,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics-MSci.aspx,MSci,Mathematics,A*AA,A*AA to include A-level grade A in Mathematics or Further Mathematics.,32,"7,6,6 at Higher Level, including a 6 in Mathematics, with a minimum of 32 points overall."
K0289,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics.aspx,BSc,Mathematics,AAA,AAA to include A-level grade A in Mathematics or Further Mathematics.,32,"6,6,6 at Higher Level, including Mathematics, with a minimum of 32 points overall."
K0290,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics-europe.aspx,BSc,Mathematics with Study in Continental Europe,AAA,AAA to include A-level grade A in Mathematics or Further Mathematics.,32,"6,6,6 at Higher Level, including Mathematics, with a minimum of 32 points overall."
K0291,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-bsc.aspx,BSc,Chemistry,AAA,"AAA  - AAB to include A-level Chemistry, minimum Maths requirement GCSE grade 6.",32,"6,6,6 - 6,6,5  at Higher Level, including Chemistry at Higher Level, with a minimum of 32 points overall. Further information below."
K0292,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-msci.aspx,MSci,Chemistry,A*AA,A*AA  - AAA to include A-level Chemistry. Minimum Maths requirement: GCSE grade 6.,32,"7,6,6 - 6,6,6  at Higher Level, including Chemistry at Higher Level, with a minimum of 32 points overall. Further information below."
K0295,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-industrial.aspx,MSci,Chemistry with a Year in Industry,A*AA,A*AA  - AAA to include A-level Chemistry. Minimum Maths requirement: GCSE grade 6.,32,"7,6,6 - 6,6,6  at Higher Level, including Chemistry at Higher Level, with a minimum of 32 points overall. Further information below."
K0296,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biochemistry-msci.aspx,MSci,Biochemistry,AAA,AAA To include Chemistry + 1 from Maths / Further Maths / Statistics / Biology / Physics ,32,"6,6,6 + 1 from Maths: Analysis and Approaches / Maths: Applications and Interpretation/ Statistics / Biology / Physics  at Higher Level with a minimum of 32 points overall"
K0298,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences-msci.aspx,MSci,Biological Sciences,AAA,AAA including Biology / Human Biology + 1 from Chemistry / Physics / Maths / Further Maths / Statistics / Geology / Geography / Psychology,,"6,6,6 including Biology / Human Biology + 1 from Chemistry / Physics / Maths: Analysis and Approaches / Maths: Applications and Interpretation/ Statistics / Geology / Geography / Psychology "
K0313,https://www.birmingham.ac.uk/undergraduate/courses/caha/arch-anthropology.aspx,BA,Social Anthropology and Archaeology,ABB,ABB,32,"6,5,5 including 32 points overall. "
