kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary,university,offer_rate_clean,disciplines
UBAPOLAUKR18,Polish and Ukrainian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-ukrainian-ba,No,No,Yes,25500,28500,35000,University College London,63,Polish
UBAPOLAYID18,Polish and Yiddish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Polish or Yiddish with no higher level score below 5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-yiddish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Polish
UBSPOLAINT18,Politics and International Relations,BSc,AAA,No specific subjects. An essay based subject is preferred but not required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5. An essay based subject at higher level is preferred but not required.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,No,No,No,29000,32000,45000,University College London,34,Politics
UBAPLSAEEA18,"Politics, Sociology and East European Studies",BA,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-sociology-and-east-european-studies-ba,No,No,Yes,26000,28000,34000,University College London,85,Politics|Sociology|Economics
UBSPOPSING18,Population Health Sciences,BSc,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language at grade C or 4, plus Mathematics or Statistics at grade C or 4.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/population-health-sciences-bsc,No,No,No,28000,35000,40000,University College London,85,Medicine|Sociology
UBSPSYALAN18,Psychology and Language Sciences,BSc,AAA,"To include one subject from Biology, Chemistry, Mathematics, Physics or Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",38,"A total of 18 points in three higher level subjects to include grade 6 in one subject from Biology, Chemistry, Mathematics, Physics or Psychology, with no higher level score below 5. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-and-language-sciences-bsc,No,No,No,28000,35000,40000,University College London,60,Psychology
UMSPSYALAN18,Psychology and Language Sciences,MSCi,A*AA,"To include one subject from Biology, Chemistry, Mathematics, Physics or Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",39,"A total of 19 points in three higher level subjects to include grade 6 in one subject from Biology, Chemistry, Mathematics, Physics or Psychology, with no higher level score below 5. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation'.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-and-language-sciences-msci,No,No,No,28000,35000,40000,University College London,45,Psychology
UBSPSYSING18,Psychology,BSc,A*AA,"To include A*A from two of the following subjects: Biology, Chemistry, Mathematics, Physics and Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",39,"A total of 19 points in three higher level subjects to include grade 7 and grade 6 in two subjects from Biology, Chemistry, Mathematics, Physics and Psychology.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-bsc,No,No,No,23000,26500,32000,University College London,17,Psychology
UBSPSYWEDU18,Psychology with Education,BSc,AAA,"One or more from Psychology, Sociology, Mathematics, or Biology preferred.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5. One or more from Psychology, Sociology, Mathematics, or Biology preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-education-bsc,No,No,No,23000,26500,32000,University College London,Data Not Available,Psychology|Education
UMSPSYSING18,Psychology,MSCi,A*AA,"To include A*A from two of the following subjects: Biology, Chemistry, Mathematics, Physics and Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",39,"A total of 19 points in three higher level subjects to include grade 7 and grade 6 in two subjects from Biology, Chemistry, Mathematics, Physics and Psychology.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-msci,No,No,Yes,23000,26500,32000,University College London,23,Psychology
