kiscourseid,title,crseurl
UBAFRESING18,French,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-ba
UBAFREWFLM18,French with Film Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba
UBAFREWMAN18,French with Management Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba
UBAFSHAEES18,Finnish and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-east-european-studies-ba
UBAGEOSING18,Geography,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-ba
UBAGEOSINT18,Geography (International Programme),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-ba
UBAGERAENG18,German and English,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-english-ba
UBAGERAHAR18,German and History of Art,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-art-ba
UBAGERAHEB18,German and Hebrew,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hebrew-ba
UBAGERAHUN18,German and Hungarian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hungarian-ba
UBAGERAITA18,German and Italian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-italian-ba
UBAGERALAT18,German and Latin,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-latin-ba
UBAGERANOR18,German and Norwegian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-norwegian-ba
UBAGERAPHI18,German and Philosophy,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-philosophy-ba
UBAGERAPOL18,German and Polish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-polish-ba
UBAGERAPOR18,German and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-portuguese-ba
UBAGERAROM18,German and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-romanian-ba
