kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
LL42-UBISPPPOL,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-social-and-public-policy-with-politics,BSc,International Social and Public Policy with Politics,AAB,AAB,37,"37 points overall, with 666 at higher level"
LLK1-UBISPPEC,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-social-and-public-policy-with-economics,BSc,International Social and Public Policy with Economics,AAB,"AAB, with an A in Mathematics",37,"37 points overall, with 666 at higher level, including Mathematics"
LV15-UBPHEC,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-philosophy-and-economics,BSc,Philosophy and Economics,AAA,"AAA, with an A in Mathematics",38,"38 points overall, with 766 in higher level subjects, including Mathematics"
LV21-UBHYPOL,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-history-and-politics,BSc,History and Politics,AAA,AAA,38,"38 points overall , including 766 at higher level"
LV25-UBPOLPH,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-politics-and-philosophy,BSc,Politics and Philosophy,AAA,AAA,38,"38 points overall, including 766 at higher level"
M100-UBLL,https://www.lse.ac.uk/study-at-lse/undergraduate/llb-bachelor-of-laws,LLB,Bachelor of Laws,A*AA,A*AA,39,39 points overall. 766 in higher level subjects
ML16-UBANLL2,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-anthropology-and-law,BA,Anthropology and Law,AAB,AAB,37,"37 points overall, with 666 in higher level subjects"
N200-UBMG,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-management,BSc,Management,AAA,"AAA, including an A in Mathematics",38,"38 points overall, with 766 in higher level subjects including Mathematics"
N300-UBFI,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-finance,BSc,Finance,A*AA,"A*AA, with an A* in Mathematics",39,"39 points overall. 766 in higher level subjects, including 7 in Mathematics"
N321-UBACT2,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science,BSc,Actuarial Science,A*AA,"A*AA, with an A* in Mathematics",39,"39 points overall, including 766 in higher level subjects, with 7 in ""Mathematics: analysis and approaches"""
N3UD-UBDSC,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-data-science,BSc,Data Science,A*AA,"A*AA, with an A* in Mathematics",39,"39 points overall, including 766 in higher level subjects, with 7 in ""Mathematics: analysis and approaches"""
NN34-UBAF,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-accounting-and-finance,BSc,Accounting and Finance,AAA,AAA with A in Mathematics,38,"38 points overall. 766 in higher level subjects, including 6 in higher level Mathematics"
V146-UBHY2,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-history,BA,History,AAA,AAA,38,"38 points overall , including 766 at higher level"
V300-UBEH,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history,BSc,Economic History,AAA,"AAA, including Economics or History",38,"38 points overall. 766 in higher level subjects, including Economics or History"
V3L7-UBEHGY,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history-and-geography,BSc,Economic History and Geography,AAB,"AAB, including Economics or History",37,37 points overall. 666 in higher level subjects.
V503-UBPHS3,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-philosophy-logic-and-scientific-method,BSc,"Philosophy, Logic and Scientific Method",AAA,AAA,38,"38 points overall, with 766 at higher level"
VL12-UBIRHY,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-relations-and-history,BSc,International Relations and History,AAA,AAA,38,"38 points overall , including 766 at higher level"
VL31-UBECEH,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics-and-economic-history,BSc,Economics and Economic History,AAA,"AAA, including Economics or History, and an A in Mathematics",38,"38 points overall, with 766 in higher level subjects, including Economics or History, and Mathematics"
