Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,,Middle East,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,,Not known,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Academic Research and HE,Middle East,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Academic Research and HE,Middle East,Generalist medical practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Health and Social Care,London,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Health and Social Care,Not known,Dental practitioners
EdD in Education,DDEEDUSCUL14/DDEEDUSCUL14,High-skilled,Academic Research and HE,Not known,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,London,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,London,Human resource managers and directors
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,Not known,Other psychologists
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,Not known,Primary education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,South West,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,Yorkshire and The Humber,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,Asia,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,East of England,Education managers
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,North West,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,South East,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,South East,Social and humanities scientists
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,"Construction, Built Environment, Property",London,Charitable organisation managers and directors
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,"Construction, Built Environment, Property",Not known,"Property, housing and estate managers"
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Health and Social Care,London,"Business, research and administrative professionals n.e.c."
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Health and Social Care,London,Community nurses
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Health and Social Care,London,Other health professionals n.e.c.
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Policy and Government,East of England,Business associate professionals n.e.c.
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Policy and Government,East of England,Social services managers and directors
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Teaching or other educational activities,London,Education managers
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Teaching or other educational activities,London,Further education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Teaching or other educational activities,Not known,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Unknown,Not known,Business and related research professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,Medium-skilled,,South East,Leisure and travel service occupations n.e.c.
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Academic Research and HE,East Midlands,"Other researchers, unspecified discipline"
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Academic Research and HE,London,Education managers
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Academic Research and HE,London,Higher education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Academic Research and HE,London,Managers and proprietors in other services n.e.c.
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Academic Research and HE,North America,Education managers
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Academic Research and HE,South East,Higher education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,"Charities, NGOs and international development",London,Chief executives and senior officials
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,"Charities, NGOs and international development",London,Other educational professionals n.e.c
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,"Charities, NGOs and international development",Middle East,Education managers
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Health and Social Care,London,Specialist medical practitioners
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Health and Social Care,Other Europe,Further education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Health and Social Care,Other Europe,Other vocational and industrial trainers
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,"Publishing, Journalism, or Translation",Not known,Teaching professionals n.e.c.
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,London,Further education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,Not known,Higher education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,Other European Union,Head teachers and principals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,South East,Special needs education teaching professionals
EdD in Education,DDEEDUSING14/DDEEDUSING14,High-skilled,Teaching or other educational activities,West Midlands,Head teachers and principals
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,,Not known,Teaching professionals n.e.c.
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,,Other European Union,Quality assurance and regulatory professionals
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,,Other European Union,Research and development (RandD) managers
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Academic Research and HE,Asia,Higher education teaching professionals
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Academic Research and HE,Middle East,Teachers of English as a foreign language
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Health and Social Care,Africa,Charitable organisation managers and directors
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Health and Social Care,London,Charitable organisation managers and directors
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Policy and Government,Africa,Chief executives and senior officials
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Policy and Government,North America,Education advisers and school inspectors
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Teaching or other educational activities,"Guernsey, Jersey and the Isle of Man",Secondary education teaching professionals
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Teaching or other educational activities,Middle East,Early education and childcare services proprietors
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Teaching or other educational activities,Not known,Managers and proprietors in other services n.e.c.
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,High-skilled,Teaching or other educational activities,Other Europe,Managers and proprietors in other services n.e.c.
EdD in Education (International),DDEEDUSINT01/DDEEDUSINT01,Medium-skilled,Academic Research and HE,London,Officers of non-governmental organisations
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,,Other Europe,Research and development (RandD) managers
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,Health and Social Care,London,Business and related research professionals
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,Manufacturing,Other Europe,Quality control and planning engineers
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,"Scientific Research, development & analysis",East of England,Natural and social science professionals n.e.c.
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,"Scientific Research, development & analysis",London,Biochemists and biomedical scientists
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,"Scientific Research, development & analysis",Other European Union,Research and development (RandD) managers
EngD Biochemical Engineering and Bioprocess Leadership,DDNBENSBIL01/DDNBENSBIL01,High-skilled,"Scientific Research, development & analysis",South East,Natural and social science professionals n.e.c.
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,East of England,Natural and social science professionals n.e.c.
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,England region unknown,Sales accounts and business development managers
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,London,Business and financial project management professionals
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,London,"Business, research and administrative professionals n.e.c."
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,London,Management consultants and business analysts
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,London,"Other researchers, unspecified discipline"
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,,North East,Biochemists and biomedical scientists
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,"IT, Technology & Telecomms",London,Engineering professionals n.e.c.
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,"IT, Technology & Telecomms",South East,Web design professionals
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,Manufacturing,East of England,Biochemists and biomedical scientists
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,Manufacturing,South East,Biochemists and biomedical scientists
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,High-skilled,Manufacturing,South East,Engineering professionals n.e.c.
EngD Biochemical Engineering,DDNBENSING09/DDNBENSING09,Not applicable,,Not known,Insufficient information to code
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,,East of England,Business and financial project management professionals
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,,London,Chemical scientists
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,,London,"Other researchers, unspecified discipline"
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Academic Research and HE,London,Higher education teaching professionals
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Accountancy & Financial Services,London,Financial managers and directors
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,"IT, Technology & Telecomms",North America,Natural and social science professionals n.e.c.
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Manufacturing,East Midlands,Sales accounts and business development managers
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Manufacturing,East of England,Physical scientists
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Manufacturing,Other Europe,Chemical scientists
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Manufacturing,Other European Union,Production and process engineers
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Manufacturing,South East,Biological scientists
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,"Other professional, scientific and technical activities",London,Natural and social science professionals n.e.c.
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Performance and Creative Arts,London,Dancers and choreographers
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,Policy and Government,London,"IT business analysts, architects and systems designers"
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,"Scientific Research, development & analysis",East of England,Chemical scientists
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,"Scientific Research, development & analysis",North America,"Other researchers, unspecified discipline"
EngD Molecular Modelling and Materials Science,DDNCHESMMS09/DDNCHESMMS09,High-skilled,"Scientific Research, development & analysis",South East,Natural and social science professionals n.e.c.
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,,Africa,Functional managers and directors n.e.c.
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,,London,Civil engineers
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,,London,"Other researchers, unspecified discipline"
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,,Other European Union,Finance and investment analysts and advisers
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,,Other European Union,Social and humanities scientists
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,,South East,Engineering professionals n.e.c.
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,Academic Research and HE,South East,"Actuaries, economists and statisticians"
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,"Construction, Built Environment, Property",South East,Civil engineers
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,Engineering,London,Directors in consultancy services
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,"IT, Technology & Telecomms",Asia,Management consultants and business analysts
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,Logistics and Distribution,London,Data analysts
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,Policy and Government,London,"Business, research and administrative professionals n.e.c."
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,"Scientific Research, development & analysis",London,"Business, research and administrative professionals n.e.c."
EngD Urban Sustainability and Resilience,DDNCIVSUSR09/DDNCIVSUSR09,High-skilled,Unknown,London,Management consultants and business analysts
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI01/DDNCOMSVEI01,High-skilled,,London,IT managers
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI01/DDNCOMSVEI01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI01/DDNCOMSVEI01,High-skilled,Engineering,Not known,Business and related research professionals
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI09/DDNCOMSVEI09,High-skilled,,London,Programmers and software development professionals
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI09/DDNCOMSVEI09,High-skilled,Academic Research and HE,London,Natural and social science professionals n.e.c.
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI09/DDNCOMSVEI09,High-skilled,Academic Research and HE,South West,Natural and social science professionals n.e.c.
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI09/DDNCOMSVEI09,High-skilled,"IT, Technology & Telecomms",London,Engineering professionals n.e.c.
"EngD Virtual Environments, Imaging and Visualisation",DDNCOMSVEI09/DDNCOMSVEI09,High-skilled,"IT, Technology & Telecomms",Not known,IT managers
EngD Professional Services,DDNPRFSING01/DDNPRFSING01,High-skilled,Academic Research and HE,Yorkshire and The Humber,Higher education teaching professionals
EngD Professional Services,DDNPRFSING01/DDNPRFSING01,High-skilled,Engineering,North America,Functional managers and directors n.e.c.
"DPA Science, Technology, Engineering and Public Policy",DDPSTESING01/DDPSTESING01,High-skilled,"Other professional, scientific and technical activities",Other European Union,"Business, research and administrative professionals n.e.c."
"DPA Science, Technology, Engineering and Public Policy",DDPSTESING01/DDPSTESING01,Not applicable,Unknown,Not known,
Doctor in Clinical Communication Science,DDRCCSSING01/DDRCCSSING01,High-skilled,,Not known,Speech and language therapists
Doctor in Clinical Communication Science,DDRCCSSING01/DDRCCSSING01,High-skilled,,South East,"Business, research and administrative professionals n.e.c."
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Academic Research and HE,Middle East,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Health and Social Care,East of England,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Health and Social Care,Not known,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Policy and Government,East of England,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Policy and Government,England region unknown,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Policy and Government,London,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Policy and Government,North West,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Policy and Government,South East,Other psychologists
"DEdPsy Professional Educational, Child and Adolescent Psychology",DDYEDUSCAP01/DDYEDUSCAP01,High-skilled,Teaching or other educational activities,London,Other psychologists
DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,DDYPSYSCAP14/DDYPSYSCAP14,High-skilled,Health and Social Care,London,Psychotherapists and cognitive behaviour therapists
DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,DDYPSYSCAP14/DDYPSYSCAP14,High-skilled,Health and Social Care,Not known,Psychotherapists and cognitive behaviour therapists
DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,DDYPSYSCAP14/DDYPSYSCAP14,High-skilled,Health and Social Care,South East,Psychotherapists and cognitive behaviour therapists
DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,DDYPSYSCAP14/DDYPSYSCAP14,High-skilled,Teaching or other educational activities,South America,Counsellors
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,East of England,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,England region unknown,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,London,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,London,Higher education teaching professionals
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,London,Other health professionals n.e.c.
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,London,Specialist medical practitioners
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,North America,"Other researchers, unspecified discipline"
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,Not known,Other psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,South East,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,,South West,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Academic Research and HE,East of England,Higher education teaching professionals
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Academic Research and HE,London,"Other researchers, unspecified discipline"
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Academic Research and HE,London,Specialist medical practitioners
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Academic Research and HE,South America,Higher education teaching professionals
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Academic Research and HE,South East,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,Asia,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,East of England,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,England region unknown,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,London,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,London,Health care practice managers
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,London,Other psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,London,Psychotherapists and cognitive behaviour therapists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,Middle East,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,North America,Other psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,North East,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,Not known,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,Other European Union,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,Scotland,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,South East,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,South West,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Health and Social Care,Yorkshire and The Humber,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Policy and Government,London,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,"Scientific Research, development & analysis",Other European Union,"Other researchers, unspecified discipline"
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Teaching or other educational activities,London,Clinical psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,High-skilled,Teaching or other educational activities,Not known,Other psychologists
DClinPsy Clinical Psychology,DDYPSYSCLI01/DDYPSYSCLI01,Not applicable,Unknown,Not known,
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,,Asia,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,,England region unknown,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,,London,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,,South East,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,,South West,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Health and Social Care,East of England,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Health and Social Care,England region unknown,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Health and Social Care,London,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Health and Social Care,Not known,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,East Midlands,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,East of England,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,England region unknown,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,London,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,South East,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,South West,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Policy and Government,West Midlands,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Teaching or other educational activities,London,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Teaching or other educational activities,North West,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,High-skilled,Unknown,East of England,Other psychologists
DEdPsy Educational and Child Psychology,DDYPSYSECP06/DDYPSYSECP06,Not applicable,Unknown,Not known,
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,,East Midlands,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,,Other European Union,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,,South West,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Academic Research and HE,South East,Higher education teaching professionals
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Health and Social Care,London,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Health and Social Care,Not known,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Health and Social Care,Other European Union,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Health and Social Care,Wales,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,East of England,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,London,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,North West,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,Not known,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,Other European Union,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,South East,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Policy and Government,South West,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,London,Other psychologists
