pubukprn,ukprn,kiscourseid,title,crseurl,sandwich,yearabroad,foundation,perc_managers_directors_and_senior_officials,perc_information_technology_professionals,perc_engineering_professionals,perc_web_and_multimedia_design_professionals,perc_design_occupations,perc_teaching_professionals,perc_business_research_and_administrative_professionals,perc_business_and_public_service_associate_professionals,perc_medical_practitioners,perc_natural_and_social_science_professionals,perc_other_health_professionals,perc_administrative_occupations,perc_media_professionals,perc_quality_and_regulatory_professionals,perc_legal_professionals,perc_finance_professionals,perc_artistic_literary_and_media_occupations,perc_elementary_occupations,perc_protective_service_occupations,perc_secretarial_and_related_occupations,perc_science_engineering_and_technology_associate_professionals,perc_sales_occupations,perc_skilled_trades_occupations,perc_conservation_and_environment_professionals,perc_business_and_financial_project_management_professionals,perc_process_plant_and_machine_operatives,perc_research_and_development_rand_d_and_other_research_professionals,perc_sports_and_fitness_occupations,perc_architects_chartered_architectural_technologists_planning_officers_surveyors_and_construction_professionals,perc_customer_service_occupations,perc_welfare_professionals,perc_leisure_travel_and_related_personal_service_occupations,perc_welfare_and_housing_associate_professionals,perc_caring_personal_services,perc_therapy_professionals,perc_teaching_and_childcare_support_occupation,perc_other_educational_professionals,perc_teaching_and_childcare_associate_professionals,perc_librarians_and_related_professionals,perc_nursing_professionals,perc_health_associate_professionals,perc_veterinarians,perc_animal_care_and_control_services,goinstlq,goinstmed,goinstuq,university,provaddress
10003270,10003270,C180,Ecology and Environmental Biology,https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/,0,0,0,6.666666666666666,0,6.666666666666666,0,0,6.666666666666666,26.666666666666664,6.666666666666666,0,6.666666666666666,0,0,6.666666666666666,0,0,19.999999999999996,6.666666666666666,0,0,6.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,32000,37000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C1R1,Biological Sciences with French for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,0,2,0,0,11.764705882352942,0,0,0,5.882352941176471,11.764705882352942,11.764705882352942,0,11.764705882352942,0,0,5.882352941176471,5.882352941176471,0,23.529411764705884,0,5.882352941176471,5.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,30000,32000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C1R2,Biological Sciences with German for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB,0,2,0,0,11.764705882352942,0,0,0,5.882352941176471,11.764705882352942,11.764705882352942,0,11.764705882352942,0,0,5.882352941176471,5.882352941176471,0,23.529411764705884,0,5.882352941176471,5.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,30000,32000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C1R4,Biological Sciences with Spanish for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC,0,2,0,0,11.764705882352942,0,0,0,5.882352941176471,11.764705882352942,11.764705882352942,0,11.764705882352942,0,0,5.882352941176471,5.882352941176471,0,23.529411764705884,0,5.882352941176471,5.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,30000,32000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C500,Microbiology,https://www.imperial.ac.uk/study/courses/undergraduate/microbiology/,0,0,0,6.666666666666666,0,6.666666666666666,0,0,6.666666666666666,26.666666666666664,6.666666666666666,0,6.666666666666666,0,0,6.666666666666666,0,0,19.999999999999996,6.666666666666666,0,0,6.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,32000,37000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C700,Biochemistry,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,0,0,0,5.882352941176471,0,0,0,0,5.882352941176471,23.529411764705884,17.647058823529413,0,0,0,0,5.882352941176471,0,5.882352941176471,11.764705882352942,11.764705882352942,0,5.882352941176471,0,5.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,34000,39000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C7R1,Biochemistry with French for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,0,2,0,6.25,6.25,0,0,0,6.25,37.5,6.25,0,0,0,0,6.25,0,0,12.5,12.5,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,34000,39000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C7R2,Biochemistry with German for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,0,2,0,6.25,6.25,0,0,0,6.25,37.5,6.25,0,0,0,0,6.25,0,0,12.5,12.5,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,34000,39000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,C7R4,Biochemistry with Spanish for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,0,2,0,6.25,6.25,0,0,0,6.25,37.5,6.25,0,0,0,0,6.25,0,0,12.5,12.5,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,34000,39000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F100,Chemistry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-bsc/,0,0,0,0,23.529411764705884,0,11.764705882352942,0,0,0,0,0,11.764705882352942,0,11.764705882352942,0,0,0,29.41176470588235,0,0,0,0,11.764705882352942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F101,Chemistry with Research Abroad and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionC,2,2,0,5.2631578947368425,26.31578947368421,0,5.2631578947368425,0,5.2631578947368425,15.789473684210526,5.2631578947368425,0,15.789473684210526,0,0,0,0,0,15.789473684210526,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F103,Chemistry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/,0,0,0,10,25,0,0,0,10,25,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F104,Chemistry with Research Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionB,0,2,0,5.2631578947368425,26.31578947368421,0,5.2631578947368425,0,5.2631578947368425,15.789473684210526,5.2631578947368425,0,15.789473684210526,0,0,0,0,0,15.789473684210526,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F105,Chemistry with a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionA,2,0,0,5.2631578947368425,26.31578947368421,0,5.2631578947368425,0,5.2631578947368425,15.789473684210526,5.2631578947368425,0,15.789473684210526,0,0,0,0,0,15.789473684210526,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F124,Chemistry with Medicinal Chemistry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/,0,0,0,5.2631578947368425,26.31578947368421,0,5.2631578947368425,0,5.2631578947368425,15.789473684210526,5.2631578947368425,0,15.789473684210526,0,0,0,0,0,15.789473684210526,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F125,Chemistry with Medicinal Chemistry and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/#OptionA,2,0,0,5.2631578947368425,26.31578947368421,0,5.2631578947368425,0,5.2631578947368425,15.789473684210526,5.2631578947368425,0,15.789473684210526,0,0,0,0,0,15.789473684210526,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F1F3,Chemistry with Molecular Physics,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/,0,0,0,2.6315789473684217,29.824561403508778,2.3809523809523814,2.6315789473684217,0,5.0125313283208035,15.03759398496241,9.774436090225564,0,15.03759398496241,0,0,0,0,0,12.656641604010026,0,2.6315789473684217,0,0,2.3809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
