title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Serbian/Croatian and Yiddish,BA,serbian-croatian-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-yiddish-ba,237,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-yiddish-ba,UBASRBAYID18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Serbian/Croatian or Yiddish with no higher level score below 5,NA
Swedish and Portuguese,BA,swedish-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/swedish-and-portuguese-ba,238,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/swedish-and-portuguese-ba,UBASWEAPOR18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Swedish and Yiddish,BA,swedish-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/swedish-and-yiddish-ba,239,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/swedish-and-yiddish-ba,UBASWEAYID18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Swedish or Yiddish with no higher level score below 5,NA
Ukrainian and East European Studies,BA,ukrainian-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-east-european-studies-ba,240,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-east-european-studies-ba,UBAUKRAEES18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Ukrainian and Portuguese,BA,ukrainian-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-portuguese-ba,241,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-portuguese-ba,UBAUKRAPOR18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Ukrainian and Swedish,BA,ukrainian-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-swedish-ba,242,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-swedish-ba,UBAUKRASWE18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Ukrainian and Yiddish,BA,ukrainian-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-yiddish-ba,243,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-yiddish-ba,UBAUKRAYID18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Ukrainian or Yiddish with no higher level score below 5,NA
"Youth, Society and Sustainable Futures",BA,youth-society-and-sustainable-futures-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/youth-society-and-sustainable-futures-ba,244,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/youth-society-and-sustainable-futures-ba,UBAYTHASTF18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Arts and Sciences with Study Abroad,BASc,arts-and-sciences-study-abroad-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,245,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,UBBASCSABR18,A*AA,"Major pathway requirements: Cultures: at least one essay-based arts/humanities subject Societies: at least one social sciences subject; Sciences and Engineering: Mathematics and one other science.
 Health and Environment: Chemistry or Biology, and one other science or social science.",English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Major pathway requirements: Cultures at least one higher level from groups 1, 2 or 6; Societies: at least one higher level from group 3; Sciences and Engineering: to include higher level Mathematics at grade 6 and a further higher level subject from groups 4 or 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level; Health and Environment: to include higher level Chemistry or Biology at grade 6 and a further higher level subject from groups 3, 4 or 5.","For more information about A level subject classification, see the BASc website at: Preferred A levels"
Arts and Sciences,BASc,arts-and-sciences-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,246,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,UBBASCSING18,A*AA,"Major pathway requirements: Cultures: at least one essay-based arts/humanities subject Societies: at least one social sciences subject; Sciences and Engineering: Mathematics and one other science.
 Health and Environment: Chemistry or Biology, and one other science or social science.",English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Major pathway requirements: Cultures at least one higher level from groups 1, 2 or 6; Societies: at least one higher level from group 3; Sciences and Engineering: to include higher level Mathematics at grade 6 and a further higher level subject from groups 4 or 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level; Health and Environment: to include higher level Chemistry or Biology at grade 6 and a further higher level subject from groups 3, 4 or 5.","For more information about A level subject classification, see the BASc website at: Preferred A levels"
