kiscourseid,url,university,offer_rate_clean
UBSCHESING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-bsc,University College London,51
UMSCHESINT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-international-programme-msci,University College London,69
UBSCHEWMAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-management-studies-bsc,University College London,28
UMSCHEWMAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-management-studies-msci,University College London,48
UBSCHEWMAT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-mathematics-bsc,University College London,47
UMSCHEWMAT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-mathematics-msci,University College London,66
UMSCHESING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-msci,University College London,69
UBNCIVSING22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/civil-engineering-beng,University College London,43
UMNCIVSING22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/civil-engineering-meng,University College London,60
UBACLAACLC18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-archaeology-and-classical-civilisation-ba,University College London,83
UBACLASANC18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-ba,University College London,89
UBACAWWABR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-study-abroad-ba,University College London,89
UBACOMSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/communications-ba,University College London,Data Not Available
UBACLTSABR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,University College London,85
UBSCOMSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/computer-science-bsc,University College London,6
UMNCOMSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/computer-science-meng,University College London,12
UMSCPMSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/construction-project-management-msci,University College London,61
UBACREAHUM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/creative-arts-and-humanities-ba,University College London,73
UBSCSSSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,University College London,64
UBACZEADAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,University College London,Data Not Available
UBACZEADUT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,University College London,Data Not Available
UBACZEAFIN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,University College London,Data Not Available
UBACZEAFRE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,University College London,63
UBACZEAGER18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,University College London,Data Not Available
UBACZEAHEB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,University College London,63
UBACZEAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,University College London,63
UBACZEAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,University College London,Data Not Available
UBACZEANOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,University College London,Data Not Available
UBACZEAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,University College London,Data Not Available
UBACZEAPOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,University College London,Data Not Available
UBACZEAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,University College London,63
UBACZEARUS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-russian-ba,University College London,63
UBACZEASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-serbian-croatian-ba,University College London,Data Not Available
UBACZEASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-spanish-ba,University College London,63
UBACZEASWE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-swedish-ba,University College London,Data Not Available
UBACZEAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-ukrainian-ba,University College London,Data Not Available
UBACZEAYID18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-yiddish-ba,University College London,Data Not Available
UBACZEAEES18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,University College London,63
UBADANADUT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-dutch-ba,University College London,60
UBADANAFIN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-finnish-ba,University College London,Data Not Available
UBADANAFRE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-french-ba,University College London,63
UBADANAGER18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-german-ba,University College London,63
UBADANAHEB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hebrew-ba,University College London,Data Not Available
UBADANAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hungarian-ba,University College London,Data Not Available
UBADANAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-italian-ba,University College London,Data Not Available
UBADANAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-polish-ba,University College London,63
UBADANAPOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-portuguese-ba,University College London,63
UBADANAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-romanian-ba,University College London,Data Not Available
UBADANARUS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-russian-ba,University College London,Data Not Available
UBADANASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-serbian-croatian-ba,University College London,Data Not Available
UBADANASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-spanish-ba,University College London,63
UBADANAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-ukrainian-ba,University College London,Data Not Available
UBADANAYID18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-yiddish-ba,University College London,Data Not Available
UBSDATSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/data-science-bsc,University College London,12
UBADUTAENG18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-english-ba,University College London,60
UBADUTAFIN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-finnish-ba,University College London,Data Not Available
UBADUTAFRE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-french-ba,University College London,63
UBADUTAGER18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-german-ba,University College London,63
UBADUTAHEB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hebrew-ba,University College London,Data Not Available
UBADUTAHAR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-history-art-ba,University College London,63
UBADUTAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hungarian-ba,University College London,Data Not Available
UBADUTAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-italian-ba,University College London,Data Not Available
UBADUTALAT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-latin-ba,University College London,Data Not Available
UBADUTAMAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-management-studies-ba,University College London,57
UBADUTANOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-norwegian-ba,University College London,Data Not Available
UBADUTAPHI18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-philosophy-ba,University College London,63
UBADUTAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-polish-ba,University College London,63
UBADUTAPOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-portuguese-ba,University College London,Data Not Available
UBADUTAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-romanian-ba,University College London,Data Not Available
UBADUTARUS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-russian-ba,University College London,60
UBADUTASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-serbian-croatian-ba,University College London,Data Not Available
UBADUTASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-spanish-ba,University College London,63
UBADUTASWE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-swedish-ba,University College London,Data Not Available
UBADUTAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,University College London,Data Not Available
UBADUTAYID18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,University College London,Data Not Available
UBADUTSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,University College London,63
UBADUTWFLM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,University College London,63
UBADUTWMAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,University College London,75
UBAECHSEDU18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,University College London,49
UBSEARSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,University College London,51
UMSEARSINT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-international-programme-msci,University College London,91
UMSEARSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-msci,University College London,91
UBAEBSWEEA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,University College London,37
UBEECOASTA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,University College London,20
UBEECOSABR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,University College London,32
UBAEDUACUL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,University College London,53
UBNEENSEEE22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,University College London,19
UMNEENSEEE22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng,University College London,27
UMNENGAARD18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-and-architectural-design-meng,University College London,55
UBAENGSING05,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,University College London,48
UBSEARSEGS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,University College London,39
UMSEARSEGS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-msci,University College London,67
UBAESPSSTU18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba,University College London,44
UBAESPSDUA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-dual-degree-ba,University College London,44
UBSLINSEXP21,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/experimental-linguistics-bsc,University College London,80
UBSLINSINT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/experimental-linguistics-international-programme-bsc,University College London,80
UBAFINSING05,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,University College London,3
UBAFSHAEES18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-east-european-studies-ba,University College London,63
UBAFINAFRE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-french-ba,University College London,60
UBAFINAGER18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-german-ba,University College London,60
UBAFINAHEB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hebrew-ba,University College London,Data Not Available
UBAFINAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hungarian-ba,University College London,Data Not Available
UBAFINAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-italian-ba,University College London,Data Not Available
