kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
UBSH3CCBYI,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-biomedicine-with-year-in-industry,,,,,,
UBSH3CCHBM,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-biomedicine-bsc,,,,,,
UBSH3CCHE,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-bsc,,,,,,
UBSH3CCHYI,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-year-in-industry-bsc,,,,,,
UBSH3CJPHPL,https://www.kcl.ac.uk/study/undergraduate/courses/physics-and-philosophy-bsc,,,,,,
UBSH3CMCSMT,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-with-management-bsc,,,,,,
UBSH3CMMMMF,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-management-and-finance-bsc,,,,,,
UBSH3CMMWS,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-statistics-bsc,,,,,,
UBSH3CMPHTP,https://www.kcl.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-bsc,,,,,,
UBSH3CSAG,https://www.kcl.ac.uk/study/undergraduate/courses/artificial-intelligence-bsc,,,,,,
UBSH3CSCS,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-bsc,,,,,,
UBSH3CSMM,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-bsc,,,,,,
UBSH3CSPH,https://www.kcl.ac.uk/study/undergraduate/courses/physics-bsc,,,,,,
UBSH3CSSNA,https://www.kcl.ac.uk/study/undergraduate/courses/natural-sciences,,,,,,
UBSH3MMSS,https://www.kcl.ac.uk/study/undergraduate/courses/sport-and-exercise-medical-sciences-bsc,,,,,,
UBSH3MPHAC,https://www.kcl.ac.uk/study/undergraduate/courses/physics-with-astrophysics-and-cosmology-bsc,,,,,,
UBSH3MSNT,https://www.kcl.ac.uk/study/undergraduate/courses/nutrition-bsc,,,,,,
UBSH3NSDS,https://www.kcl.ac.uk/study/undergraduate/courses/dental-therapy-and-hygiene-bsc,,,,,,
UBSH3PJPANS,https://www.kcl.ac.uk/study/undergraduate/courses/neuroscience-and-psychology-bsc,,,,,,
UBSH3PSPCM,https://www.kcl.ac.uk/study/undergraduate/courses/psychology-and-criminology,,,,,,
UBSH3PSPN,https://www.kcl.ac.uk/study/undergraduate/courses/psychology-bsc,,,,,,
UBSH3QSDABF,https://www.kcl.ac.uk/study/undergraduate/courses/data-analytics-for-business-and-finance-bsc,,,,,,
UBSH3QSSAF,https://www.kcl.ac.uk/study/undergraduate/courses/accounting-finance-bsc,,,,,,
UBSH3SSBM,https://www.kcl.ac.uk/study/undergraduate/courses/business-management-bsc,,,,,,
UBSH3SSEM,https://www.kcl.ac.uk/study/undergraduate/courses/economics-and-management-bsc,,,,,,
UBSH3SSGG,https://www.kcl.ac.uk/study/undergraduate/courses/geography-bsc,,,,,,
UBSH3SSGS,https://www.kcl.ac.uk/study/undergraduate/courses/global-health-and-social-medicine-bsc,,,,,,
UBSH3SSWE,https://www.kcl.ac.uk/study/undergraduate/courses/economics-bsc,,,,,,
UBSH4CMCSMI,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-with-management-and-a-year-in-industry-bsc,,,,,,
UBSH4CMMFI,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-management-finance-with-year-in-industry,,,,,,
UBSH4CMMSYI,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-statistics-with-year-in-industry-bsc,,,,,,
